sample,image_file,mask_file,dist_file,outlier
sample_1103,train\crops\sample_1103_crop_warp_outlier.nii.gz,train\crops\sample_1103_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1103_distance_field_crop_warp_outlier.nii.gz,3
sample_1103,train\crops\sample_1103_crop_sphere_outlier_water.nii.gz,train\crops\sample_1103_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1103_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1103,train\crops\sample_1103_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1103_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1103_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1103,train\crops\sample_1103_crop.nii.gz,train\crops\sample_1103_crop_label.nii.gz,train\dist_fields\sample_1103_distance_field_crop.nii.gz,0
sample_1102,train\crops\sample_1102_crop_warp_outlier.nii.gz,train\crops\sample_1102_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1102_distance_field_crop_warp_outlier.nii.gz,3
sample_1102,train\crops\sample_1102_crop_sphere_outlier_water.nii.gz,train\crops\sample_1102_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1102_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1102,train\crops\sample_1102_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1102_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1102_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1102,train\crops\sample_1102_crop.nii.gz,train\crops\sample_1102_crop_label.nii.gz,train\dist_fields\sample_1102_distance_field_crop.nii.gz,0
sample_1101,train\crops\sample_1101_crop_warp_outlier.nii.gz,train\crops\sample_1101_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1101_distance_field_crop_warp_outlier.nii.gz,3
sample_1101,train\crops\sample_1101_crop_sphere_outlier_water.nii.gz,train\crops\sample_1101_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1101_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1101,train\crops\sample_1101_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1101_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1101_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1101,train\crops\sample_1101_crop.nii.gz,train\crops\sample_1101_crop_label.nii.gz,train\dist_fields\sample_1101_distance_field_crop.nii.gz,0
sample_1096,train\crops\sample_1096_crop_warp_outlier.nii.gz,train\crops\sample_1096_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1096_distance_field_crop_warp_outlier.nii.gz,3
sample_1096,train\crops\sample_1096_crop_sphere_outlier_water.nii.gz,train\crops\sample_1096_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1096_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1096,train\crops\sample_1096_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1096_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1096_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
